"D_ID","FIRST","MIDDLE","LAST","D_SALARY","D_SCHEDULE","D_SPECIALITY","D_PHONENUM","D_EMAIL","R_ID"
"1","Ahmed","Mohamed","Ahmed","5200","22-MAY-21","Surgeon","01154898756","ahmedmo58@gmail.com","2"
"2","Hesham","Mostafa","Ahmed","6000","22-MAY-21","Neurologists","01054896587","hesham65@gmail.com","8"
"3","Ali","Abdulla","Ahmed","5850.5","22-MAY-21","Radiologists","01035489785","aliahmed47@yahoo.com","2"
"4","Salma","Omar","Sayed","5720","22-MAY-21","Ophthalmologist","01568547852","salmaomar@hotmail.com","9"
"5","Zeyad","Salem","Sayed","6800","22-MAY-21","Cardiologist","01165487528","zeyad658@hotmail.com","10"
"6","Mena","Ayman","Gamal","7200","22-MAY-21","Internal Medicine","01254896587","menaayman74@gmail.com","2"
"7","Roshdy","Abdelaziz","Mostafa","6650","22-MAY-21","Surgeon","01147965236","roshdy@gmail.com","2"
"8","Mariam","Ibrahem","Haroun","7000","22-MAY-21","Dermatologist","01593418056","mariam98@hotmail.com","11"
"9","Loay","Adham","Mostafa","8930","22-MAY-21","Cardiologist","01224839850","loayadham@gmail.com","10"
"10","Nour","Akram","Monir","8320","22-MAY-21","Psychologist","01574125896","nourakram@hotmail.com","8"
